병원명,주소,Tel,경도,위도,월open,월close,화open,화close,수open,수close,목open,목close,금open,금close,토open,토close,일open,일close,공open,공close
소화병원(의료법인소화병원),"서울특별시 용산구 청파로 383 (서계동, 소화아동병원)",02-705-9000,126.9686724,37.55376777,,,,,,,,,,,8:00,18:00,8:00,18:00,8:00,18:00
연세곰돌이소아청소년과의원,"서울특별시 서초구 방배로 211, 4,5층 (방배동, SM빌딩)",02-596-4585,126.9906409,37.49199349,,,,,,,,,,,14:00,18:30,9:00,18:30,9:00,18:30
세곡달빛의원,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동, 2층 일부 201-2호, 202호)",02-459-0119,127.0987765,37.46681032,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00
미즈아이프라자산부인과의원,"서울특별시 노원구 동일로 1669, 수락프라자(상계동)",02-931-5224,127.0548927,37.67745607,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,19:00,9:00,19:00,9:00,19:00
대동병원,부산광역시 동래구 충렬대로 187 (명륜동),051-554-1233,129.0802019,35.20430713,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,18:00,9:00,18:00,9:00,18:00
재단법인한호기독교선교회일신기독병원,부산광역시 동구 정공단로 27 (좌천동),051-630-0300,129.0542564,35.13560361,18:00,23:59,18:00,23:59,18:00,23:59,18:00,23:59,18:00,23:59,9:00,22:00,9:00,22:00,9:00,22:00
정관우리아동병원,부산광역시 기장군 정관면 정관중앙로 56,051-727-7812,129.1795287,35.32174672,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,18:00,9:00,18:00,9:00,18:00
한영한마음아동병원,대구광역시 남구 월배로 468 (대명동),053-260-7777,128.5559569,35.83463987,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,21:00,9:00,21:00,9:00,21:00
연세소아과의원,인천광역시 미추홀구 토금남로 53 (용현동),032-887-0044,126.638087,37.45081765,8:30,23:00,8:30,23:00,8:30,23:00,8:30,23:00,8:30,23:00,9:00,18:00,9:00,18:00,9:00,18:00
의료법인석경의료재단센트럴병원,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",031-8041-3000,126.7284499,37.33666966,18:00,24:00:00,,,18:00,24:00:00,,,18:00,0:00:00,13:00,24:00:00,,,,
강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",031-300-0114,127.1113805,37.27359519,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,9:00,24:00:00,9:00,24:00:00,,
일산우리들소아청소년과의원,"경기도 고양시 일산서구 중앙로 1426, 일송노블레스 207, 208(일부), 810호 (주엽동)",031-916-9999,126.7619312,37.67025866,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,18:00,9:00,18:00,9:00,18:00
의료법인양진의료재단성세아이들병원,경기도 평택시 조개터로42번길 61 (합정동),031-657-1451,127.1059076,36.99032717,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,21:00,9:00,18:00,9:00,21:00
연세메디컬의원,강원도 원주시 시청로 70 (무실동),033-734-0365,127.9263828,37.33736138,19:00,23:00,19:00,23:00,19:00,23:00,19:00,23:00,19:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00
손범수달빛의원,충청북도 청주시 흥덕구 사운로 254 (운천동),043-276-5115,127.4742872,36.65071861,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00
대자인병원,전라북도 전주시 덕진구 견훤로 390 (우아동3가),063-240-2000,127.1533154,35.84599082,,,,,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00
엔젤연합소아청소년과의원,전라북도 부안군 부안읍 석정로 233,063-584-1049,126.7376154,35.72480188,,,,,,,,,,,8:30,18:00,10:00,18:00,10:00,18:00
의료법인덕산의료재단김천제일병원,경상북도 김천시 신음1길 12 (신음동),054-420-9300,128.1188234,36.13545289,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,9:00,24:00:00,9:00,24:00:00,9:00,24:00:00
SCH서울아동병원,경상남도 통영시 중앙로 334-1 (무전동),055-647-0778,128.4291845,34.86008526,,,,,,,,,,,,,,,,
의료법인 보원의료재단 웅상중앙병원,경상남도 양산시 서창로 59 (명동),1600-7582,129.1642303,35.40680659,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,13:00,24:00:00,9:00,24:00:00,9:00,24:00:00
의료법인 보원의료재단 경희의료교육협력중앙병원,경상남도 김해시 분성로 94-8 (외동),055-330-6000,128.857047,35.23070004,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,18:00,24:00:00,13:00,23:00,9:00,23:00,9:00,23:00
탑동365일의원,"제주특별자치도 제주시 탑동로 24 (삼도이동, 2층)",064-756-3650,126.5224021,33.51768153,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,23:00,9:00,23:00,9:00,23:00
연동365일의원,"제주특별자치도 제주시 연북로 99, 2층 (연동, 365빌딩)",064-727-3651,126.4920066,33.48211458,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,9:00,24:00:00,9:00,24:00:00,9:00,24:00:00
